original_price,description,url,price,brand_name,image_urls,now_price,images,product_name
EUR 393.16 ,"Prada Linea Rossa patent leather slide sandal. Logo lettering at thong strap. 1"" platform heel. Molded leather footbed. Rubber tread sole. Imported.",http://www.neimanmarcus.com/en-de/Prada-Patent-Leather-Thong-Sandal-Nero-All-Shoes/prod187680351_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod187680351&cmCat=product,,Prada,"http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_mu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_au.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_bu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_mg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_ag.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_bg.jpg",EUR 293.93,"[{'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_mu.jpg', 'path': 'images/NMX34A8_mu.jpg', 'checksum': 'bd2eb7358928a4a9dde4681412472ad2'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_au.jpg', 'path': 'images/NMX34A8_au.jpg', 'checksum': '9da0b9a50643db243ae80a2660d67a09'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/A/8/NMX34A8_bu.jpg', 'path': 'images/NMX34A8_bu.jpg', 'checksum': 'f56eec5c428ece77e58ca32490c9a5ab'}]","Patent Leather Thong Sandal, Nero"
,"Christian Louboutin matte calf leather sandal with cog-shaped trim. 5.5"" covered wedge heel; 1.3"" platform; 4.2"" equiv. Strap bands open toe. Asymmetric ankle strap with stretch insets. Mixed-stitch details trim midsole. Slip-on style. Calf leather lining. Signature red leather sole. ""Trepi"" is made in Italy.",http://www.neimanmarcus.com/en-de/Christian-Louboutin-Trepi-Platform-Wedge-Red-Sole-Sandal-Hazelnut-Noisette-All-Shoes/prod188570079_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod188570079&cmCat=product,EUR 702.07,Christian Louboutin,"http://images.neimanmarcus.com/ca/2/product_assets/X/3/5/P/H/NMX35PH_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_au.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_bu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/5/P/H/NMX35PH_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_ag.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_bg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/5/P/H/NMX35PH_mu.jpg', 'path': 'images/NMX35PH_mu.jpg', 'checksum': 'b3b92ca67bac96b16ad4a43fc734986a'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_au.jpg', 'path': 'images/NMX35PH_au.jpg', 'checksum': 'a6a9d95b2fef1bb1a78cfe7ef23c61ac'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/5/P/H/NMX35PH_bu.jpg', 'path': 'images/NMX35PH_bu.jpg', 'checksum': 'fd184eb80d52fc7188645599ba950688'}]","Trepi Platform Wedge Red Sole Sandal, Hazelnut (Noisette)"
,"Givenchy calf leather slide sandal. 1.3"" platform heel. Open toe. Laser-cut patent logo lettering. Molded footbed. Slip-on style. Rubber outsole. Made in Italy.",http://www.neimanmarcus.com/en-de/Givenchy-Logo-Leather-Slide-Sandal-Pink-Black-All-Shoes/prod189410019_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod189410019&cmCat=product,EUR 369.75,Givenchy,"http://images.neimanmarcus.com/ca/2/product_assets/X/3/6/W/R/NMX36WR_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/6/W/R/NMX36WR_au.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/6/W/R/NMX36WR_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/6/W/R/NMX36WR_ag.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/6/W/R/NMX36WR_mu.jpg', 'path': 'images/NMX36WR_mu.jpg', 'checksum': '515ff3630e352a5411b5c1a7ec6f95eb'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/6/W/R/NMX36WR_au.jpg', 'path': 'images/NMX36WR_au.jpg', 'checksum': 'f0328c6e26f4514d2a94b31c00c16787'}]","Logo Leather Slide Sandal, Pink/Black"
,"Manolo Blahnik leather pump. 1.3"" stacked heel. Almond toe. Slingback strap with stretch inset. Smooth outsole. Slip-on style. ""Aspro Sambra"" is made in Italy.",http://www.neimanmarcus.com/en-de/Manolo-Blahnik-Aspro-Sambra-Leather-Slingback-Pump-Camel-All-Shoes/prod189620153_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod189620153&cmCat=product,EUR 631.86,Manolo Blahnik,"http://images.neimanmarcus.com/ca/6/product_assets/X/3/7/W/P/NMX37WP_mu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/7/W/P/NMX37WP_eu.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_au.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_bu.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_cu.jpg,http://images.neimanmarcus.com/ca/6/product_assets/X/3/7/W/P/NMX37WP_mg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/7/W/P/NMX37WP_eg.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_ag.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_bg.jpg,http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_cg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/6/product_assets/X/3/7/W/P/NMX37WP_mu.jpg', 'path': 'images/NMX37WP_mu.jpg', 'checksum': '9ed4f92ffe89af59fe3a3f6e2622d7cd'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/7/W/P/NMX37WP_eu.jpg', 'path': 'images/NMX37WP_eu.jpg', 'checksum': 'b4d1ca9984c4e772106294aa29a70979'}, {'url': 'http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_au.jpg', 'path': 'images/NMX37WP_au.jpg', 'checksum': 'dee0c856583d0f38fe12bee8972817d7'}, {'url': 'http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_bu.jpg', 'path': 'images/NMX37WP_bu.jpg', 'checksum': '2813faf52d81dd8d8bd818558de63f15'}, {'url': 'http://images.neimanmarcus.com/ca/5/product_assets/X/3/7/W/P/NMX37WP_cu.jpg', 'path': 'images/NMX37WP_cu.jpg', 'checksum': 'a5bc82aa89b5dc24f0494c5f32517372'}]","Aspro Sambra Leather Slingback Pump, Camel"
,"Christian Louboutin pump in calf leather, printed with Paris street map. 4"" covered heel. Pointed toe. Low-dipped vamp. Topstitched collar. Signature red leather outsole. Slip-on style. ""Decollete"" is made in Italy.",http://www.neimanmarcus.com/en-de/Christian-Louboutin-Decollete-Paris-Map-100mm-Red-Sole-Pump-Multi-All-Shoes/prod188360050_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod188360050&cmCat=product,EUR 697.38,Christian Louboutin,"http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/Z/U/NMX34ZU_mu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_au.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_bu.jpg,http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/Z/U/NMX34ZU_mg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_ag.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_bg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/Z/U/NMX34ZU_mu.jpg', 'path': 'images/NMX34ZU_mu.jpg', 'checksum': '937de346f62987b90fefb220a3478b7d'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_au.jpg', 'path': 'images/NMX34ZU_au.jpg', 'checksum': '9a894d12d8e17cda20e1e2a7b1665733'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/U/NMX34ZU_bu.jpg', 'path': 'images/NMX34ZU_bu.jpg', 'checksum': 'b06a56512fbb2325415c80dc6c317b8e'}]","Decollete Paris Map 100mm Red Sole Pump, Multi"
,"Cole Haan leather sandal. 2"" platform heel. Open toe. Grip slingback strap. Cushioned with ZeroGrand technology. Rubber outsole. Imported.",http://www.neimanmarcus.com/en-de/Cole-Haan-ZeroGrand-153-Leather-Slingback-Sandal-Sandshell-All-Shoes/prod186520021_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod186520021&cmCat=product,EUR 140.41,Cole Haan,"http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/2/3/M/NMX323M_eu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_au.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_bu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/2/3/M/NMX323M_eg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_ag.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_bg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_mu.jpg', 'path': 'images/NMX323M_mu.jpg', 'checksum': 'bbe3c7d77700f4bdb598e17b8ca15477'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/2/3/M/NMX323M_eu.jpg', 'path': 'images/NMX323M_eu.jpg', 'checksum': 'ea925124199be9b6ca7b5394a2553692'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_au.jpg', 'path': 'images/NMX323M_au.jpg', 'checksum': '5e5a114a1dd644830d3a0f694449d62f'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/2/3/M/NMX323M_bu.jpg', 'path': 'images/NMX323M_bu.jpg', 'checksum': '7f1684eb557857829c30a642db844e5a'}]","ZeroGrand Leather Slingback Sandal, Sandshell"
,"Christian Louboutin denim sandal with silvertone studded trim. 2.3"" wedge heel; 1.3"" braided jute platform; 1"" equiv. Thin strap bands open toe. Adjustable ankle strap. Lightly padded footbed. Signature red leather sole. ""Cataclou"" is made in Spain.",http://www.neimanmarcus.com/en-de/Christian-Louboutin-Cataclou-Denim-60mm-Wedge-Red-Sole-Sandal-Blue-Silver-All-Shoes/prod190820196_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod190820196&cmCat=product,EUR 744.19,Christian Louboutin,"http://images.neimanmarcus.com/ca/3/product_assets/X/3/A/6/F/NMX3A6F_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_au.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_bu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_cu.jpg,http://images.neimanmarcus.com/ca/3/product_assets/X/3/A/6/F/NMX3A6F_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_ag.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_bg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_cg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/3/product_assets/X/3/A/6/F/NMX3A6F_mu.jpg', 'path': 'images/NMX3A6F_mu.jpg', 'checksum': 'e89c2d8fccae8d7f1672cfa307a08e75'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_au.jpg', 'path': 'images/NMX3A6F_au.jpg', 'checksum': '08d75d4c7c12ee0278fea81ab9925fb2'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_bu.jpg', 'path': 'images/NMX3A6F_bu.jpg', 'checksum': '1b38d4c6df1d54938188ed65ab743d6a'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/A/6/F/NMX3A6F_cu.jpg', 'path': 'images/NMX3A6F_cu.jpg', 'checksum': 'b7f4786eff6131d9fc786bf5eaa9beab'}]","Cataclou Denim 60mm Wedge Red Sole Sandal, Blue/Silver"
,"        Aquazzura suede sandal. 2"" covered heel. Fringed toe strap. Adjustable ankle-wrap ties with tassels. Halter strap for fit. Smooth outsole. ""Wild Thing"" is made in Italy.",http://www.neimanmarcus.com/en-de/Aquazzura-Wild-Thing-Suede-50mm-Sandal-Gray-All-Shoes/prod187820110_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod187820110&cmCat=product,EUR 734.83,Aquazzura,"http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/F/L/NMX34FL_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/F/L/NMX34FL_eu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_au.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_bu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_cu.jpg,http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/F/L/NMX34FL_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/F/L/NMX34FL_eg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_ag.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_bg.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_cg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/3/product_assets/X/3/4/F/L/NMX34FL_mu.jpg', 'path': 'images/NMX34FL_mu.jpg', 'checksum': '8850a687b1aaf7d46de60404c075064e'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/F/L/NMX34FL_eu.jpg', 'path': 'images/NMX34FL_eu.jpg', 'checksum': '4366ca2804bb75f7eab84fea9ef1d194'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_au.jpg', 'path': 'images/NMX34FL_au.jpg', 'checksum': '27b8da8c512ed8440487badc60c4ca97'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_bu.jpg', 'path': 'images/NMX34FL_bu.jpg', 'checksum': '92ed7e81aa0e3589f0cbd19204aa2eb5'}, {'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/F/L/NMX34FL_cu.jpg', 'path': 'images/NMX34FL_cu.jpg', 'checksum': '0cb566c0ae238ad56191b6798aeaf66c'}]","Wild Thing Suede 50mm Sandal, Gray"
,"        Christian Louboutin low-cut napa leather pump. 4"" covered heel. Pointed toe. d'Orsay silhouette. Adjustable ankle-wrap strap. Lightly padded footbed. Signature red leather sole. ""Uptown"" is made in Italy.",http://www.neimanmarcus.com/en-de/Christian-Louboutin-Uptown-d-Orsay-100mm-Red-Sole-Pump-Nude-All-Shoes/prod188270291_cat47190746__/p.prod?icid=&searchType=EndecaDrivenCat&rte=%252Fcategory.jsp%253FitemId%253Dcat47190746%2526pageSize%253D30%2526No%253D0%2526refinements%253D&eItemId=prod188270291&cmCat=product,EUR 790.99,Christian Louboutin,"http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/D/NMX34ZD_mu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_au.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_bu.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_cu.jpg,http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/D/NMX34ZD_mg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_ag.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_bg.jpg,http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_cg.jpg",,"[{'url': 'http://images.neimanmarcus.com/ca/2/product_assets/X/3/4/Z/D/NMX34ZD_mu.jpg', 'path': 'images/NMX34ZD_mu.jpg', 'checksum': 'a1dc3f8999a3af43ed4bb691f10cb39f'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_au.jpg', 'path': 'images/NMX34ZD_au.jpg', 'checksum': '620303893ec7207ec94a231a7116f786'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_bu.jpg', 'path': 'images/NMX34ZD_bu.jpg', 'checksum': '2169ea54f135c11b6b1bd32c7bf1d6b5'}, {'url': 'http://images.neimanmarcus.com/ca/1/product_assets/X/3/4/Z/D/NMX34ZD_cu.jpg', 'path': 'images/NMX34ZD_cu.jpg', 'checksum': '629eb25a2f70a87f66b62dfce65f91eb'}]","Uptown d'Orsay 100mm Red Sole Pump, Nude"
